ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
ARP,small_airport,Aragip Airport,"149.4833333, -9.883333333",1750,OC,PG,PG-MBA,,,ARP,AGP
ARX,closed,Asbury Park Neptune Air Terminal,"-74.09083333, 40.21930556",95,NA,US,US-NJ,Asbury Park,,ARX,
AS-TAV,small_airport,Tau Airport,"-169.5110016, -14.22920036",185,OC,AS,AS-U-A,Tau Village,,TAV,HI36
AS89,heliport,Public Safety Heliport,"-112.1829987, 33.5381012",3995,NA,US,US-AZ,Glendale,AS89,,AS89
ASZ,small_airport,Asirim Airport,"150.3686111, -6.009722222",1050,OC,PG,PG-WBK,,,ASZ,ASM
AT-0001,heliport,Pöchlarn-Wörth Heliport,"15.25542355, 48.21473694",709,EU,AT,AT-3,Pöchlarn-Wörth,,,
AT-0002,seaplane_base,Scalaria Airchallenge Water Landing Area,"13.4438324, 47.73470543",,EU,AT,AT-4,Lake Wolfgang,,,
AT-0003,heliport,Bad Tatzmannsdorf PVA Hospital Helipad,"16.22207, 47.33072",1247,EU,AT,AT-1,Bad Tatzmannsdorf,,,
AT-0004,heliport,Güssing Hospital Helipad,"16.3217, 47.04977",731,EU,AT,AT-1,Güssing,,,
ATN,small_airport,Namatanai Airport,"152.438, -3.6695",150,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI
ATP,small_airport,Aitape Airport,"142.3468056, -3.143611111",10,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE
ATUA,small_airport,Utai Airstrip,"141.5868, -3.386",707,OC,PG,PG-SAN,Utai,ATUA,,UTAI
AU-AGW,small_airport,Agnew Airport,"142.1490021, -12.14560032",,OC,AU,AU-QLD,Agnew,,AGW,
AU-AYD,small_airport,Alroy Downs Airport,"136.0789948, -19.29080009",,OC,AU,AU-NT,Alroy Downs,,AYD,
AU-BCK,closed,[Duplicate] Bolwarra Airport,"144.1690063, -17.38829994",,OC,AU,AU-QLD,Bolwarra,,BCK,
AU-BFC,closed,[Duplicate] Bloomfield Airport,"145.3300018, -15.87360001",66,OC,AU,AU-QLD,Bloomfield,,BFC,
AU-BVW,closed,[Duplicate] Batavia Downs Airport,"142.6750031, -12.65919971",,OC,AU,AU-QLD,Batavia Downs,,BVW,
AU-BYX,small_airport,Baniyala Airport,"136.227005, -13.19810009",20,OC,AU,AU-NT,Baniyala,,BYX,
AU-COB,small_airport,Coolibah Airport,"130.9620056, -15.54829979",,OC,AU,AU-NT,Coolibah,,COB,
AU-CQP,closed,[Duplicate] Cape Flattery Airport,"145.3110046, -14.97099972",,OC,AU,AU-QLD,Cape Flattery,,CQP,
AU-CRJ,small_airport,Coorabie Airport,"132.2960052, -31.89439964",,OC,AU,AU-SA,Coorabie,,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,"128.5339966, -15.50189972",,OC,AU,AU-WA,Carlton Hill,,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,"135.9160004, -17.94799995",,OC,AU,AU-NT,Cresswell Downs,,CSD,
AU-CTR,closed,[Duplicate] Cattle Creek Airport,"131.548996, -17.60700035",,OC,AU,AU-NT,Cattle Creek,,CTR,
AU-DYM,small_airport,Diamantina Lakes Airport,"141.1450043, -23.76169968",,OC,AU,AU-QLD,Diamantina Lakes,,DYM,
AU-EDD,closed,[Duplicate] Erldunda Airport,"133.2539978, -25.2057991",,OC,AU,AU-NT,Erldunda,,EDD,
AU-EKD,closed,[Duplicate] Elkedra Airport,"135.4440002, -21.17250061",,OC,AU,AU-NT,Elkedra,YELK,EKD,
AU-HAT,closed,[Duplicate] Heathlands Airport,"142.5769959, -11.73690033",,OC,AU,AU-QLD,Heathlands,,HAT,
AU-HIG,closed,[Duplicate] Highbury Airport,"143.1459961, -16.42440033",,OC,AU,AU-QLD,Highbury,,HIG,
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,"148.8809967, -20.05999947",,OC,AU,AU-QLD,Hayman Island,,HIS,
